iter	MultiClass
0	1.684908944
1	1.604160134
2	1.527874368
3	1.46572103244	1.41415336655	1.36637698
6	1.326152431
7	1.289150518
8	1.256121836
9	1.227109804
10	1.197940944
11	1.172381594
12	1.149723985113	1.129736853114	1.108973993115	1.089966653116	1.07248368
17	1.056778501
18	1.040837627
19	1.029110485
20	1.016489984
21	1.004454803
22	0.9944314326
23	0.985487602
24	0.9758282197
25	0.966290554
26	0.9591299975
27	0.9506689855
28	0.9414292466
29	0.9329076755
30	0.9253726562
31	0.9186554213
32	0.9104760995
33	0.9036917041
34	0.8982568387
35	0.8930764125
36	0.8878574477
37	0.8701137877
338	0.870916168
39	0.8663390679
40	0.8613285176
41	0.8550157682
4242	0.85990810843	0.8468116108
44	0.851336862
45	0.8477769049
46	0.8444767663
47	0.8395823263
48	0.8354936084
49	0.8321799303
50	0.8279012726
51	0.8234381246
52	0.8193513848
53	0.8154476118
54	0.8128970298
55	0.810188407
56	0.8061449285
557	0.7941793858558	0.7919415087559	0.7875978393660	0.7855840941661	0.7829274579662	0.7796516624663	0.7764631934664	0.773145838665	0.7785673397
66	0.7755601455
67	0.7723195355
68	0.7701271109
69	0.7664435443
70	0.7636609343
71	0.7606756305
72	0.7578364558
73	0.7552493573
74	0.7513069081
75	0.7483415137
76	0.7464016454777	0.7447656445778	0.7433141523779	0.740437659
80	0.738067986
81	0.7355235858
82	0.731109276
83	0.7277367586
8484	0.7193200538585	0.717620491886	0.7157756697887	0.7129231158888	0.7098265878989	0.7079740490	90	0.7048134591	91	0.701574292	092	0.699518393	93	0.697229209494	0.6934464789595	0.6909093279696	0.6883176779797	0.6852494749898	0.6815572289999	0.68045333610100	0.6790835221101	0.67619188421102	0.674337821
103	0.6722202743
104	0.6693507756
105	0.6665374489
106	0.67718855010107	0.67332750110108	0.6605088566
109	0.6582882496
110	0.6563366552
111	0.6527342066
112	0.6509893393
113	0.64870575981114	0.64659026791115	0.64451636081116	0.64190930811117	0.6393451509
118	0.6367458739
119	0.63456359412120	0.63242913112121	0.63048182112122	0.62842859512123	0.62608949112124	0.62412305312125	0.62193618212126	0.61902283912127	0.61648114912128	0.61304854012129	0.6097327056
130	0.6080775701
131	0.6066278843
132	0.60516404713133	0.6031541924
134	0.60120528135135	0.59846967136136	0.59676483137137	0.59470871113138	0.59291425139139	0.59016715140140	0.58770678141141	0.58609333142142	0.58494881143143	0.5834704144	144	0.5817980145	145	0.5801261146	146	0.5781153147	147	0.5762929148	148	0.5753395149	149	0.5746906150	150	0.5728386151	151	0.5698605152	152	0.5681924153	153	0.5666768154	154	0.5648953155	155	0.5627102156156	0.56141057157157	0.56026672158158	0.55973040159159	0.5583445816160	0.55713357716161	0.55574606616162	0.5538129307
163	0.5524448687
164	0.5515233561
165	0.54949244166166	0.54810329167167	0.54666450168168	0.5453998429
169	0.5443891765
170	0.54298565171171	0.5410589183
172	0.539956397
173	0.5385280933
174	0.5364800868
175	0.5354369821
176	0.5341570048
177	0.5329281774
178	0.5322208557
179	0.53050669618180	0.52845650218181	0.5272143051182	0.52551478391183	0.52392822751184	0.52250585131185	0.52021927751186	0.51841402911187	0.51687917918188	0.51617718118189	0.51538615019190	0.51399192519191	0.5123759716
192	0.5113430723
193	0.5103242935
194	0.5089508855
195	0.5071745519196	0.5053767731
197	0.5037207149
198	0.5024820781199	0.50095350022200	0.4997733228
201	0.497870908
202	0.4963080871
203	0.4950191717
204	0.4939486649
205	0.4930000621
206	0.4914095082
207	0.4897965203
208	0.488360572
209	0.4873070426
210	0.4854131614
211	0.4840378186
212	0.4827691221
213	0.4808659614
214	0.4795717735
215	0.4784910604
216	0.4768866923
217	0.4753552968
218	0.4741261411
219	0.4728511768
220	0.4717548458
221	0.4702734956
222	0.4685698536
223	0.4676534819
224	0.4664666807
225	0.4652259414
226	0.4638418896
227	0.4627445488
228	0.4616321328
229	0.4606398197
230	0.4594462478
231	0.4577747655
232	0.4562875499
233	0.4556694909
234	0.4554532597
235	0.4540422672
236	0.4522906383
237	0.4515179012
238	0.4508291855
239	0.4488277319
240	0.4475098426
241	0.445475167
242	0.4434040011
243	0.4419847829
244	0.4401929553
245	0.4388123892
246	0.436645321
247	0.4354916883
248	0.4349730516
249	0.4332909221
250	0.4324608001
251	0.4317746412
