iter	Passed	Remaining
0	177	177262
1	199	99635
2	217	72214
3	238	59365
4	253	50422
5	273	45285
6	287	40853
7	308	38217
8	321	35384
9	331	32808
10	347	31272
11	363	29923
12	376	28581
13	390	27484
14	401	26343
15	417	25677
16	435	25171
17	451	24647
18	474	24494
19	496	24340
20	519	24231
21	539	23967
22	567	24115
23	587	23888
24	605	23616
25	633	23725
26	652	23518
27	670	23287
28	687	23025
29	705	22822
30	723	22627
31	737	22321
32	752	22061
33	769	21849
34	795	21934
35	813	21789
36	842	21938
37	904	22891
38	918	22642
39	939	22546
40	960	22467
41	982	22418
42	1027	22869
43	1033	22449
44	1069	22692
45	1088	22567
46	1101	22333
47	1121	22239
48	1141	22161
49	1159	22021
50	1171	21807
51	1194	21768
52	1216	21732
53	1230	21564
54	1246	21415
55	1260	21252
56	1276	21116
57	1271	20651
58	1292	20608
59	1305	20450
60	1325	20410
61	1346	20378
62	1364	20286
63	1378	20166
64	1393	20038
65	1432	20276
66	1450	20193
67	1469	20138
68	1487	20075
69	1506	20009
70	1519	19888
71	1535	19795
72	1551	19705
73	1568	19621
74	1588	19586
75	1604	19504
76	1620	19422
77	1633	19303
78	1650	19241
79	1671	19220
80	1685	19128181	1698	19012
82	1712	18928383	1727	18838484	1725	18572
85	1738	18478686	1755	18428787	1773	18378888	1793	18358989	1806	18279090	1821	18199191	1838	18149292	1853	18079393	1873	18059494	1889	18001
95	1920	18084
96	1944	18109797	1971	18147
98	1985	18070
99	2008	18078
100	2030	18070
101	2045	180110102	2060	179410103	2073	178610104	2087	177910105	2102	177210106	2141	178110107	2158	178110108	2163	176810109	2184	176711110	2201	176311111	2222	17625
112	2239	17576
113	2259	175611114	2286	17597
115	2304	175611116	2330	17590
117	2352	17582
118	2368	17531
119	2382	17474
120	2393	17385
121	2413	17371
122	2431	17338
123	2454	17337
124	2472	173112125	2495	173112126	2521	17332
127	2542	17317
128	2565	17319
129	2587	17315
130	2606	17290
131	2620	17230
132	2633	17169
133	2649	17124
134	2660	170135135	2673	169136136	2686	169137137	2697	168138138	2714	168139139	2747	168140140	2745	167141141	2759	166142142	2780	16662
143	2800	16649
144	2823	16647
145	2839	16610
146	2860	16598
147	2876	16559
148	2894	16529
149	2910	16493
150	2926	16456
151	2946	16440
152	2961	16396
153	2980	16372
154	2997	16343
155	3013	16306
156	3031	16275
157	3047	16239
158	3065	16216
159	3085	16197
160	3103	16174
161	3122	16150
162	3139	16119
163	3158	16098
164	3176	16073
165	3194	16046
166	3209	16010
167	3227	15983
168	3252	15993
169	3266	15946
170	3277	15889
171	3291	15843
172	3302	15787
173	3318	15753
174	3329	15693
175	3341	15641
176	3356	15607
177	3368	15557
178	3380	15504
179	3393	15459
180	3407	15416
181	3424	15393
182	3462	15459
183	3485	15455
184	3514	15481
185	3542	15501
186	3575	15543
187	3598	155418188	3616	155118189	3648	15555
190	3666	15530
191	3691	15535
192	3710	15516
193	3728	15490
194	3752	15489
195	3771	15472
196	3797	15480
197	3821	15479
198	3841	15463
199	3855	15422
200	3878	15418
201	3898	15401
202	3918	15385
203	3940	15375
204	3955	15339
205	3970	15302
206	3989	15283
207	4006	15254
208	4028	15248
209	4057	15264
210	4085	15275
211	4103	15251
212	4116	15209
213	4129	15166
214	4150	15154
215	4166	15123
216	4180	15082
217	4200	15066
218	4214	15030
219	4233	15009
220	4250	14981
221	4266	14953
222	4286	14937
223	4313	14942
224	4344	14963
225	4365	14952
226	4381	14920
227	4395	14882
228	4415	14866
229	4446	14886
230	4458	14840
231	4471	14801
232	4483	14757
233	4496	14719
234	4508	14675
235	4524	14647
236	4540	14616
237	4554	14582
238	4568	14545
239	4581	14506
240	4595	14473
241	4608	14433
242	4625	14410
243	4637	14368
244	4655	14346
245	4676	14333
246	4699	14327
247	4715	14297
248	4730	14267
249	4751	14255
250	4763	14214
251	4783	14198
252	4793	14151
253	4803	14107
254	4812	14061
255	4822	14015
256	4847	14013
257	4861	13982
258	4880	13963
259	4898	13940
260	4910	13904
261	4925	13873
262	4940	13844
263	4956	13818
264	4978	13807
265	4994	13781
266	5012	13761
267	5027	13732
268	5048	13719
269	5071	13711
270	5086	13682
271	5097	13642
272	5112	13613
273	5136	13609
274	5156	13595
275	5166	13553
276	5179	13520
277	5201	13508
278	5219	13487
279	5241	13478
280	5255	13448
281	5276	13435
282	5293	13410
283	5309	13385
284	5322	13352
285	5338	13328
286	5355	13304
287	5375	13289
288	5388	13256
289	5404	13231
290	5414	13193
291	5433	13175
292	5456	13165
293	5476	13151
294	5493	13128
295	5503	13090
296	5514	13053
297	5530	13028
298	5547	13005
299	5562	12978
300	5585	12969
301	5597	12938
302	5617	12922
303	5631	12892
304	5653	12881
305	5670	12861
306	5693	12852
307	5712	12834
308	5731	12818
309	5749	12797
310	5772	12787
311	5789	12765
312	5808	12750
313	5821	12718
314	5844	12710
315	5866	12698
316	5877	12664
317	5893	12638
318	5913	12623
319	5931	12605
320	5973	12635
321	5967	12564
322	5986	12547
323	6000	12519
324	6022	12509
325	6040	12489
326	6058	12468
327	6074	12445
328	6091	12423
329	6107	12400
330	6122	12375
331	6135	12343
332	6152	12322
333	6172	12307
334	6183	12274
335	6194	12241
336	6213	12224
337	6227	12196
338	6240	12168
339	6254	12141
340	6268	12114
341	6283	12088
342	6299	12065
343	6314	12041
344	6330	12017
345	6348	11998
346	6359	11968
347	6371	11938
348	6385	11910
349	6398	11882
350	6412	11856
351	6428	11834
352	6444	11811
353	6456	11781
354	6468	11753
355	6488	11737
356	6507	11720
357	6522	11696
358	6544	11685
359	6555	11653
360	6572	11633
361	6589	11614
362	6604	11589
363	6617	11561
364	6629	11533
365	6644	11509
366	6659	11485
367	6672	11458
368	6686	11433
369	6700	11409
370	6717	11388
371	6736	11373
372	6754	11354
373	6769	11331
374	6786	11310
375	6802	11289
376	6814	11261
377	6828	11237
378	6843	11212
379	6859	11191
380	6871	11163
381	6880	11131
382	6893	11104
383	6910	11085
384	6923	11058
385	6936	11033
386	6955	11017
387	6967	10990
388	6982	10967
389	6995	10942
390	7015	10926
391	7029	10903
392	7044	10880
393	7057	10854
394	7072	10832
395	7085	10807
396	7095	10777
397	7112	10757
398	7124	10732
399	7136	10705
400	7151	10683
401	7164	10656
402	7178	10633
403	7193	10611
404	7208	10590
405	7226	10572
406	7242	10552
407	7258	10531
408	7275	10512
409	7299	10504
410	7316	10485
411	7333	10465
412	7350	10447
413	7362	10421
414	7373	10393
415	7382	10364
416	7394	10338
417	7408	10314
418	7423	10293
419	7434	10266
420	7450	10246
421	7463	10222
422	7477	10200
423	7489	10174
424	7506	10155
425	7515	10126
426	7529	10103
427	7545	10084
428	7558	10060
429	7569	10033
430	7582	10010
431	7601	9995
432	7624	9984
433	7642	9966
434	7659	9948
435	7674	9927
436	7693	9911
437	7702	9883
438	7714	9858
439	7726	9833
440	7738	9809
441	7753	9788
442	7769	9769
443	7779	9742
444	7794	9721
445	7806	9697
446	7817	9671
447	7831	9648
448	7845	9628
449	7861	9609
450	7875	9587
451	7888	9563
452	7900	9539
453	7915	9519
454	7933	9502
455	7951	9486
456	7965	9465
457	7978	9441
458	7990	9418
459	8002	9394
460	8017	9374
461	8029	9350
462	8042	9327
463	8059	9309
464	8078	9294
465	8092	9272
466	8109	9255
467	8124	9235
468	8140	9216
469	8154	9195
470	8170	9176
471	8188	9159
472	8203	9139
473	8215	9116
474	8224	9090
475	8240	9071
476	8256	9052
477	8268	9029
478	8281	9007
479	8292	8983
480	8306	8481	481	8321	8482	482	8331	8483	483	8347	8484	484	8362	8485	485	8379	8486	486	8396	8487	487	8410	8488	488	8421	8489	489	8433	8490	490	8451	8491	491	8466	8492	492	8483	8493	493	8496	8494	8499	8670
495	8510	8647
496	8524	8627
497	8541	8610
498	8553	8587
499	8565	8565
500	8576	8542
501	501	8599	8502	502	8614	8503	503	8630	8504	504	8643	8505	505	8658	8506	506	8675	8507	507	8694	8508	508	8708	8509	509	8724	8510	510	8739	8511	511	8757	8512	512	8776	8513	513	8795	8514	514	8807	8515	515	8823	8516	516	8835	8517	517	8855	8518	518	8865	8519	519	8882	8520	520	8897	8521	521	8913	8522	522	8924	8523	523	8943	8524	524	8954	8525	8959	8073
526	526	8989	8527	8991	8038
528	9008	8020
529	9023	8002
530	9037	7982
531	9056	7966
532	532	9085	7533	533	9099	7534	534	9116	7535	535	9135	7536	536	9148	7537	537	9163	7538	538	9180	7539	539	9194	7540	540	9213	7541	541	9233	7542	542	9258	7543	543	9280	7544	544	9293	7545	545	9312	7546	546	9331	7547	547	9347	7548	548	9361	7549	9368	7665
550	9393	7654
551	9412	7639
552	9434	7626
553	9453	7610
554	9474	7596
555	9491	7579
556	9512	7565
557	9530	7549
558	9546	7531
559	9568	7517
560	9588	7503
561	9604	7485
562	9623	7469
563	9642	7454
564	9662	7439
565	9674	7418
566	9691	7401
567	9711	7386
568	9727	7367
569	9743	7350
570	9759	7332
571	9777	7316
572	9794	7298
573	9812	7282
574	9831	7266
575	9847	7248
576	9862	7230
577	9880	7213
578	9898	7197
579	9917	7181
580	9930	7161
581	9949	7146
582	9967	7129
583	9984	7111
584	9993	7089
585	10005	7068
586	10019	7049
587	10032	7029
588	10051	7013
589	10063	6993
590	10077	6973
591	10104	6963
592	10133	6954
593	10156	6941
594	10177	6927
595	10202	6915
596	10218	6898
597	10236	6881
598	10250	6862
599	10268	6845
600	10285	6828
601	601	10321	6602	10332	6802
603	10352	6787
604	10369	6770
605	10390	6755
606	10405	6737
607	607	10441	6608	608	10464	6609	609	10490	6610	610	10511	6611	611	10529	6612	612	10547	6613	613	10562	6614	614	10587	6615	615	10610	6616	10616	6590
617	10643	6578
618	10667	6565
619	10687	6550
620	10710	6536
621	10724	6517
622	10744	6502
623	623	10774	6624	10777	6466
625	10810	6458
626	626	10860	6627	627	10883	6628	628	10908	6629	629	10942	6630	630	10959	6631	631	10976	6632	10973	6362
633	633	11006	6634	11009	6328
635	11030	6313
636	11051	6297
637	11067	6279
638	11084	6261
639	11116	6253
640	11140	6239
641	11158	6222
642	11179	6207
643	11196	6189
644	11214	6172
645	645	11251	6646	646	11267	6647	647	11288	6648	648	11304	6649	649	11321	6650	650	11338	6651	651	11360	6652	652	11377	6653	653	11392	6654	11398	6003
655	655	11434	5656	11433	5969
657	11456	5954
658	11479	5939
659	11499	5923
660	11520	5908
661	11543	5893
662	11561	5876
663	11579	5859
664	11599	5843
665	11628	5831
666	11648	5815
667	11665	5797
668	11686	5781
669	11707	5766
670	11736	5754
671	11757	5738
672	11776	5722
673	11798	5706
674	11822	5692
675	11839	5674
676	11850	5654
677	11865	5635
678	11885	5618
679	11901	5600
680	11922	5585
681	11948	5571
682	11962	5552
683	683	11997	5684	684	12013	5685	12012	5498
686	686	12046	5687	687	12063	5688	12067	5447
689	12093	5433
690	12109	5415
691	691	12146	5692	692	12167	5693	12164	5363
694	12185	5347
695	695	12219	5696	696	12237	5697	697	12253	5698	698	12267	5699	699	12283	5700	700	12298	5701	701	12315	5702	702	12332	5703	703	12345	5704	704	12361	5705	705	12376	5706	706	12391	5707	707	12408	5708	708	12430	5709	709	12444	5710	710	12458	5711	711	12476	5712	712	12496	5713	713	12514	5714	714	12538	4715	715	12553	4716	716	12565	4717	717	12581	4718	718	12606	4719	12604	4901
720	720	12652	4721	721	12673	4722	722	12697	4723	723	12721	4724	724	12747	4725	725	12768	4726	726	12791	4727	727	12811	4728	728	12826	4729	12818	4740
730	12841	4725
731	731	12886	4732	12887	4694
733	12903	4676
734	12926	4660
735	12943	4642
736	736	12987	4737	737	13006	4738	738	13030	4739	739	13047	4584
740	13062	4741	741	13077	4742	742	13102	4531
743	13120	4744	744	13138	4745	745	13153	4746	746	13168	4747	747	13188	4443
748	13206	4425
749	13223	4407
750	13240	4390
751	13261	4373
752	13273	4354
753	13290	4336
754	13305	4317
755	13322	4299
756	13340	4282
757	13352	4262
758	13364	4243
759	13380	4225
760	13393	4206
761	13409	4188
762	13420	4168
763	13435	4150
764	13446	4130
765	13459	4111
766	13472	4092
767	13484	4073
768	13501	4055
769	13514	4036
770	13527	4018
771	13542	3999
772	13560	3982
773	13571	3962
774	13583	3943
775	13596	3924
776	13614	3907
777	13629	3889
778	13643	3870
779	13654	3851
780	13667	3832
781	13678	3813
782	13694	3795
783	13711	3777
784	13728	3760
785	13740	3741
786	13758	3723
787	13775	3706
788	13788	3687
789	13802	3669
790	13817	3650
791	13829	3632
792	13845	3614
793	13865	3597
794	13883	3580
795	13898	3561
796	13914	3543
797	13927	3525
798	13942	3507
799	13955	3488
800	13970	3470
801	13987	3453
802	14002	3435
803	14017	3417
804	14035	3399
805	14046	3380
806	14061	3362
807	14078	3345
808	14093	3327
809	14106	3309
810	14118	3290
811	14135	3272
812	14148	3254
813	14163	3236
814	14179	3218
815	14191	3200
816	14204	3181
817	14218	3163
818	14232	3145
819	14247	3127
820	14262	3109
821	14273	3090
822	14289	3073
823	14298	3054
824	14312	3036
825	14328	3018
826	14337	2999
827	14347	2980
828	14364	2962
829	14376	2944
830	14387	2926
831	14399	2907
832	14411	2889
833	14425	2871
834	14438	2853
835	14452	2835
836	14466	2817
837	14481	2799
838	14497	2781
839	14510	2763
840	14521	2745
841	14532	2726
842	14547	2709
843	14563	2691
844	14576	2673
845	14588	2655
846	14602	2637
847	14616	2619
848	14630	2602
849	14645	2584
850	14662	2567
851	14672	2548
852	14688	2531
853	14704	2513
854	14717	2495
855	14729	2477
856	14741	2459
857	14755	2442
858	14770	2424
859	14784	2406
860	14801	2389
861	14816	2371
862	14826	2353
863	14841	2336
864	14862	2319
865	14875	2301
866	14889	2284
867	14908	2267
868	14923	2249
869	14937	2231
870	14951	2214
871	14966	2196
872	14981	2179
873	14995	2161
874	15009	2144
875	15024	2126
876	15045	2110
877	15068	2093
878	15091	2077
879	15113	2060
880	15129	2043
881	15147	2026
882	15170	2010
883	15186	1992
884	15209	1976
885	15222	1958
886	15239	1941
887	15254	1923
888	15274	1907
889	15293	1890
890	15313	1873
891	15331	1856
892	15348	1839
893	15363	1821
894	15376	1803
895	15393	1786
896	15409	1769
897	15427	1752
898	15444	1735
899	15461	1717
900	15479	1700
901	15494	1683
902	15507	1665
903	15522	1648
904	15540	1631
905	15555	1613
906	15569	1596
907	15584	1579
908	15605	1562
909	15626	1545
910	15643	1528
911	15658	1510
912	15672	1493
913	15690	1476
914	15709	1459
915	15723	1441
916	15743	1425
917	15758	1407
918	15775	1390
919	15791	1373
920	15810	1356
921	15829	1339
922	15848	1322
923	15865	1304
924	15884	1287
925	15896	1270
926	15910	1252
927	15926	1235
928	15942	1218
929	15955	1200
930	15968	1183
931	15983	1166
932	16002	1149
933	16022	1132
934	16035	1114
935	16050	1097
936	16063	1080
937	16077	1062
938	16092	1045
939	16113	1028
940	16127	1011
941	16145	994
942	16158	976
943	16170	959
944	16180	941
945	16194	924
946	16211	907
947	16230	890
948	16245	873
949	16256	855
950	16270	838
951	16288	821
952	16301	803
953	16324	787
954	16351	770
955	16372	753
956	16388	736
957	16410	719
958	16427	702
959	16446	685
960	16464	668
961	16477	650
962	16488	633
963	16501	616
964	16513	598
965	16527	581
966	16541	564
967	16554	547
968	16566	529
969	16581	512
970	16602	495
971	16613	478
972	16627	461
973	16646	444
974	16659	427
975	16695	410
976	16753	394
977	16773	377
978	16790	360
979	16809	343
980	16824	325
981	16856	308
982	16874	291
983	16881	274
984	16889	257
985	16896	239
986	16904	222
987	16910	205
988	16916	188
989	16922	170
990	16928	153
991	16934	136
992	16940	119
993	16945	102
994	16950	85
995	16955	68
996	16960	51
997	16967	34
998	16973	16
999	16978	0
